2013-05-11 00:18:59,500|INFO   |      dynamo.py|228|A: store K524=I am pig524
2013-05-11 00:18:59,501|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29003: PutRsp(K524=I am pig524)
2013-05-11 00:18:59,512|INFO   |      dynamo.py|228|A: store K525=I am pig525
2013-05-11 00:18:59,513|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29004: PutRsp(K525=I am pig525)
2013-05-11 00:18:59,537|INFO   |      dynamo.py|228|A: store K526=I am pig526
2013-05-11 00:18:59,537|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29001: PutRsp(K526=I am pig526)
2013-05-11 00:18:59,574|INFO   |      dynamo.py|228|A: store K528=I am pig528
2013-05-11 00:18:59,575|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29003: PutRsp(K528=I am pig528)
2013-05-11 00:18:59,582|INFO   |      dynamo.py|168|A, 157: put K529=I am pig529
2013-05-11 00:18:59,582|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29003: PutReq(K529=I am pig529)
2013-05-11 00:18:59,586|INFO   |      dynamo.py|248|A: written 1 copies of K529=I am pig529 so done
2013-05-11 00:18:59,586|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29008: ClientPutRsp(K529=I am pig529)
2013-05-11 00:18:59,591|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutReq(K529=I am pig529)
2013-05-11 00:18:59,593|INFO   |      dynamo.py|228|A: store K529=I am pig529
2013-05-11 00:18:59,594|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutRsp(K529=I am pig529)
2013-05-11 00:18:59,599|INFO   |      dynamo.py|168|A, 158: put K530=I am pig530
2013-05-11 00:18:59,599|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29003: PutReq(K530=I am pig530)
2013-05-11 00:18:59,603|INFO   |      dynamo.py|248|A: written 1 copies of K530=I am pig530 so done
2013-05-11 00:18:59,603|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29008: ClientPutRsp(K530=I am pig530)
2013-05-11 00:18:59,608|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutReq(K530=I am pig530)
2013-05-11 00:18:59,610|INFO   |      dynamo.py|228|A: store K530=I am pig530
2013-05-11 00:18:59,610|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutRsp(K530=I am pig530)
2013-05-11 00:18:59,614|INFO   |      dynamo.py|168|A, 159: put K531=I am pig531
2013-05-11 00:18:59,615|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29003: PutReq(K531=I am pig531)
2013-05-11 00:18:59,620|INFO   |      dynamo.py|248|A: written 1 copies of K531=I am pig531 so done
2013-05-11 00:18:59,620|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29008: ClientPutRsp(K531=I am pig531)
2013-05-11 00:18:59,625|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutReq(K531=I am pig531)
2013-05-11 00:18:59,626|INFO   |      dynamo.py|228|A: store K531=I am pig531
